SUBURB_ID,LABEL
10536,"Fatehabad Central"
10050,"FNG Expressway"
10236,Gandhinagar
11098,"Gandhinagar North"
11099,"Gandhinagar South"
10102,"Gangapur Road"
11437,Gangwa
10406,"Ganjam South"
11199,Garhmukteshwar
10188,"Ghaziabad Central"
10104,"Goa Central"
10287,"Goa North"
10288,"Goa South"
10284,"Godhra Hwy"
10026,"Golf Course Extn Road"
10025,"Golf Course Road"
10084,"Gomti Nagar"
11249,"Gorakhpur Central"
10560,"Gr Hyderabad"
10164,"Greater Faridabad"
10030,"Greater Hyderabad"
10087,"Greater Noida"
11076,"Greater Noida Central"
11077,"Greater Noida East"
11078,"Greater Noida North"
10263,GST
10326,"Gulbarga Central"
10336,"Gulbarga North"
10405,"Guntur Central"
10546,"Guntur East"
10511,"Guntur North"
10373,"Guntur South"
10547,"Guntur West"
10545,"Gurgaon Central"
10182,"Gurgaon Faridabad Road"
10306,"Gurgaon Gokulgarh Road"
10140,"Guwahati Central"
10476,"Guwahati West"
10133,"Gwalior Central"
10395,"Gwalior East"
10455,"Gwalior South"
10480,"Gwalior West"
11316,"Haibatpur Rd"
11483,"Hapur Road Nehru Nagar"
11481,"Hapur Road Shastri Nagar"
10134,"Haridwar Central"
10394,"Haridwar South"
10390,"Haridwar West"
10444,"Hennur Main Road"
11476,"Hi Tension Road"
11319,"Highland Marg"
11232,"Hiran Magri"
10515,"Hisar Central"
10367,Hodal
11439,"Hodal Rural"
11210,"Hooghly East"
11331,"Hoshangabad East"
10447,"Hosur Road"
10438,Hubli
10525,"Hubli Dharwad Hwy"
10526,"Hubli Dharwad North"
10524,"Hubli Dharwad South"
11457,Huda
11461,HUDA
11459,Huda
10234,"Hyderabad Central"
10233,"Hyderabad East"
10071,"Hyderabad North"
10238,"Hyderabad South"
10082,"Hyderabad West"
11135,"Imphal Central"
11133,"Imphal East"
11136,"Imphal North"
11137,"Imphal South"
11134,"Imphal West"
10067,Indirapuram
10283,"Indore Bypass Road"
10273,"Indore Central"
10270,"Indore East"
10286,"Indore North"
10068,"Indore North to East"
10243,"Indore South"
10241,"Indore West"
11453,"Industrial Hub"
10141,"Jabalpur Central"
10404,"Jabalpur South"
10671,"Jabalpur West"
11435,Jagadhri
10208,"Jail Road"
10105,"Jaipur Central"
10549,"Jaipur East"
10550,"Jaipur North"
10300,"Jaipur South"
10363,"Jaipur West"
11226,"Jajpur North"
11165,"Jalandhar North"
10378,"Jalandhar South"
11324,"Jalgaon Central"
11335,"Jalgaon East"
11431,"Jalna West"
11293,"Jammu North"
10149,"Jamshedpur Central"
11179,"Jandpur Road"
10544,"Jhajjar Central"
10160,"Jhansi Central"
10391,"Jhansi East"
11253,"Jharsuguda Central"
11180,"Jhungiyan Road"
10142,"Jodhpur Central"
10370,"Jodhpur North"
10368,"Jodhpur West"
10451,"Kanakapura Road"
10454,"Kanakpura Road"
10136,"Kannur Central"
10557,"Kannur North"
10408,"Kannur South"
10128,"Kanpur Central"
11200,"Kanpur Lucknow Road"
10379,"Kanpur North"
10285,"Kanpur Road"
11231,"Kanpur South"
10386,"Kanpur West"
10215,Kapashera
11379,"Karnal Central"
11426,"Karnal East"
11424,"Karnal North"
11425,"Karnal South"
10456,"Karnal West"
11491,"Karoran Road"
11004,"Karur Central"
11005,"Karur East"
11007,"Karur North"
11008,"Karur South"
11006,"Karur West"
10217,Kaushambi
10251,Khandala
11184,"Kharar Road"
11471,Khardaha
11190,"Kheda North"
10075,"Khokhra Circle"
11143,"Khopoli Pali Road"
10980,"KMP Expressway"
11288,"KMP Expressway"
10107,"Kochi Central"
10371,"Kochi North"
10553,"Kochi South"
11292,"Kodaikanal North"
11487,"Kodungaiyur East"
11485,"Kodungaiyur West"
10143,"Kolhapur Central"
11330,"Kolhapur East"
10532,"Kolhapur North"
10361,"Kolhapur South"
10235,"Kolkata Central"
10035,"Kolkata East"
10036,"Kolkata North"
10038,"Kolkata South"
10039,"Kolkata West"
11201,"Kollam Central"
11114,"Koraput Central"
11112,"Koraput East"
11115,"Koraput North"
11116,"Koraput South"
11113,"Koraput West"
11299,"Kota East"
10150,"Kottayam Central"
10491,"Kottayam East"
10711,"Kottayam North"
10376,"Kottayam South"
11197,"Kurali Chandigarh Road"
11182,"Kurali Highway"
11011,"Kurnool Central"
11014,"Kurnool East"
11012,"Kurnool North"
11013,"Kurnool South"
11015,"Kurnool West"
11303,"Kurukshetra Central"
11494,"Kushinagar West"
11183,"Landran Road"
10250,Lonavala
10272,"Lucknow Central"
10242,"Lucknow East"
10275,"Lucknow North"
10271,"Lucknow South"
10297,"Lucknow West"
10346,"Ludhiana Central"
10360,"Ludhiana East"
10388,"Ludhiana North"
10382,"Ludhiana South"
11209,"Ludhiana West"
10120,"Madurai Central"
10710,"Madurai East"
10214,"Madurai North"
10548,"Madurai South"
10427,"Madurai West"
11154,"Main Garhi Bolni Road"
10543,"Mandya Bangalore Road"
10435,"Mandya Central"
10436,"Mandya North"
10506,"Mandya South"
10538,"Mandya West"
10029,Manesar
10115,"Mangalore Central"
10353,"Mangalore North"
10312,"Mangalore South"
10540,Manipal
10528,Manipal
10505,Manmad
10155,"Mathura Central"
10401,"Mathura North"
11101,"Mathura South"
11202,"Mathura West"
10129,"Meerut Central"
10399,"Meerut East"
10316,"Meerut North"
11227,"Meerut South"
10448,"Meerut West"
10328,"Mehsana Central"
10493,"Mehsana West"
10211,"MG Road"
10041,"Mira Road and Beyond"
11188,"Mirzapur Road"
11465,"Mithapur Extension"
10083,Mohali
10086,"Mohan Nagar"
10417,"Moradabad Central"
10418,"Moradabad East"
10420,"Moradabad North"
10421,"Moradabad South"
10419,"Moradabad West"
10279,"Mumbai Agra Road"
10567,"Mumbai Andheri Dahisar"
10562,"Mumbai Beyond Thane"
10566,"Mumbai Central Line"
10044,"Mumbai Harbour"
10561,"Mumbai Mira Road and Beyond"
10277,"Mumbai Nashik Expressway"
10565,"Mumbai Navi"
10252,"Mumbai Pune Bypass"
10255,"Mumbai Pune Highway"
10046,"Mumbai South"
10564,"Mumbai South West"
10563,"Mumbai Thane"
10500,"Muzaffarnagar Central"
10501,"Muzaffarnagar East"
10503,"Muzaffarnagar North"
10504,"Muzaffarnagar South"
10502,"Muzaffarnagar West"
10112,"Mysore Central"
10556,"Mysore East"
10295,"Mysore North"
10450,"Mysore Road"
10198,"Mysore Road"
10268,"Mysore South"
10298,"Mysore West"
11167,"Nadia Central"
11168,"Nadia East"
11170,"Nadia North"
11171,"Nadia South"
11169,"Nadia West"
11296,Nadiad
10247,"Nagar Road"
10085,"Nagpur Central"
10291,"Nagpur East"
10289,"Nagpur North"
10290,"Nagpur South"
10292,"Nagpur West"
10144,"Nainital Central"
10192,"Nainital East"
10414,"Nainital West"
11251,"Nalgonda East"
11484,Nangainallur
11300,"Narainpur Fatehganj Marg"
10338,"Nashik Central"
10392,"Nashik East"
10282,"Nashik North"
10278,"Nashik Pune Road"
10173,"Nashik Road"
10437,"Nashik South"
10281,"Nashik West"
11235,Nathdwara
10045,"Navi Mumbai"
10969,"Naya Raipur"
10053,"Near City Center"
10239,"Near DND"
10197,"Near NH 24"
10216,"Nearby HUDA Metro Station"
10322,Neemrana
10220,"Nehru Nagar"
11215,"Nellore Central"
11223,"Nellore East"
11224,"Nellore South"
11192,"Nellore West"
11477,"New Airport Road"
10080,"New Chandigarh"
10199,"New Delhi"
10062,"New Gurgaon"
10330,"New Industrial Township"
11466,"New Model Town Exyension"
11153,"New Rohtak Jhajjar Bye Pass Road"
10195,"NH 1"
10181,"NH 1"
10240,"NH 1"
10516,"NH 10"
10537,"NH 10"
10267,"NH 11"
10362,"NH 2"
10189,"NH 2"
10224,"NH 2"
11145,"NH 2"
10171,"NH 2 Close to Bypass"
10533,"NH 204"
11185,"NH 21"
10167,"NH 24"
11287,"NH 24"
10374,"NH 47"
11371,"NH 48"
11186,"NH 5"
11325,"NH 5"
11321,"NH 5 Chandigarh Kalka Rd"
10196,"NH 57"
10174,"NH 58"
10203,"NH 7"
11421,"NH 7"
11155,"NH 71"
10205,"NH 8"
11144,"NH 8"
11156,"NH 8"
11147,"NH 8"
11428,"NH 8"
10213,"NH 9"
10350,"NH 9"
10190,"NH 91"
10535,"NH 91"
10415,"NH 91"
11079,"NH 91"
10372,"NH 95"
10262,NH4
10027,NH8
10249,"NIBM Wanowrie"
11460,"Nirmal Vihar"
10333,NIT
10049,"Noida Expressway"
10051,"Noida Extension"
10177,"North Delhi"
11474,"North East Delhi"
11475,"North West Delhi"
10441,"Old Airport Road"
11486,"Old Delhi"
10210,"Old Delhi Road"
10332,"Old Faridabad"
10975,"Old Gurgaon"
