99,Raigad
148,Raigarh
166,Raipur
160,Rajahmundry
260,Rajghar
177,Rajkot
368,Rajsamand
288,Rampur
53,Ranchi
386,Ratlam
124,Ratnagiri
132,Rayagada
478,Rewa
275,Rewari
135,Rishikesh
130,Rohtak
225,Roorkee
208,Rourkela
226,Rudrapur
479,Sagar
285,Saharanpur
105,Salem
252,Samayaparam
391,Sambalpur
480,Sambhal
147,Sangli
457,Saran
112,Satara
481,Satna
154,Secunderabad
355,Sehore
138,Shahjahanpur
222,Shahjanpur
278,Shahjapur
202,Shillong
49,Shimla
316,Shimoga
255,Shirdi
369,Shivamogga
482,Shivpuri
244,Sholapur
378,Sikar
163,Silchar
93,Siliguri
245,Sindhudurg
483,Singrauli
272,Siolim
141,Sirsa
322,Siwan
329,Sohna
116,Solan
113,Solapur
271,Sonarpur
90,Sonepat
179,Sonipat
405,"Sri Ganganagar"
376,Srikakulam
186,Srinagar
380,Sultanpur
40,Surat
484,Suryapet
443,test
444,test22
403,Thanjavur
395,Theni
253,Thiruporur
96,Thiruvannamalai
485,Thoothukudi
111,Thrissur
101,Tirunelveli
109,Tirupati
342,Tiruppur
433,Tirupur
315,Tiruvallur
434,Tiruvannamalai
45,Trichy
29,Trivandrum
351,Tumakuru
435,Tumkur
345,Tuticorin
215,Udaipur
137,"Udham Singh Nagar"
143,Udupi
200,Ujjain
325,Umargam
450,Unnao
254,Uthiramerur
270,Uttarpara
38,Vadodara
263,Vagator
128,Valsad
302,Vapi
60,Varanasi
169,"Vasco Da Gama"
54,Vellore
308,Vetapallem
367,Vijayapura
61,Vijayawada
312,Vikramgad
347,Villupuram
41,Visakhapatnam
161,Vishakhapatnam
486,Vizianagaram
223,Vrindavan
107,Warangal
246,Wardha
247,Washim
100,Wayanad
402,"West Godavari"
487,Yamunanagar
248,Yavatmal
256,Zirakpur
